run_id,fold_id,global_step,train_loss,eval_loss,mcc,f1,tp,fp,tn,fn,output_dir,early_stopping_patience,evaluate_during_training_steps,gradient_accumulation_steps,learning_rate,num_train_epochs,train_batch_size,warmup_ratio,weight_decay,acc
0,0,115.0,0.5827925205230713,0.6497037032293895,0.268540853868605,0.6303030303030303,156.0,86.0,161.0,97.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.634
0,0,120.0,0.7488391995429993,0.6484776697461567,0.26132251499296905,0.6201232032854209,151.0,83.0,164.0,102.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.63
0,0,125.0,0.69688880443573,0.6472066148879037,0.25743036136697045,0.6172839506172839,150.0,83.0,164.0,103.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.628
0,0,130.0,0.6053978204727173,0.6459697806645953,0.25767574490584944,0.615702479338843,149.0,82.0,165.0,104.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.628
0,0,135.0,0.7039151787757874,0.6447986392747789,0.2737233095135501,0.6239669421487604,151.0,80.0,167.0,102.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.636
0,0,140.0,0.5119479298591614,0.6435032344999767,0.2739960279128832,0.6224066390041494,150.0,79.0,168.0,103.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.636
0,0,145.0,0.6264948844909668,0.6422001851929559,0.2864957614048353,0.6263048016701462,150.0,76.0,171.0,103.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.642
0,0,150.0,0.4976021647453308,0.6409809438009111,0.29101903273834057,0.6260504201680673,149.0,74.0,173.0,104.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.644
0,0,155.0,0.7130394577980042,0.6397711540025378,0.2906778657327882,0.6276150627615062,150.0,75.0,172.0,103.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.644
0,0,160.0,0.5431399345397949,0.6384542707412962,0.2875383370698777,0.6215644820295982,147.0,73.0,174.0,106.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.642
0,0,165.0,0.7678741216659546,0.6372264268852416,0.2798580500983687,0.6157112526539278,145.0,73.0,174.0,108.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.638
0,0,170.0,0.7642006278038025,0.6359934891973223,0.2913798818648091,0.6244725738396624,148.0,73.0,174.0,105.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.644
0,0,175.0,0.6463115811347961,0.6348814264176383,0.2861867951780235,0.6278586278586279,151.0,77.0,170.0,102.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.642
0,0,180.0,0.5295579433441162,0.6340284678671095,0.3044772930604546,0.6491935483870968,161.0,82.0,165.0,92.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.652
0,0,185.0,0.4656001925468445,0.6333525644408332,0.3040723264089027,0.6533864541832669,164.0,85.0,162.0,89.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.652
0,0,190.0,0.5578531622886658,0.6325893737967052,0.3081280455632666,0.6546906187624749,164.0,84.0,163.0,89.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.654
0,0,195.0,0.6632299423217773,0.6319086040769305,0.3278491776627955,0.6692913385826772,170.0,85.0,162.0,83.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.664
0,0,200.0,0.478070080280304,0.6311489296337914,0.3238727750629467,0.6666666666666667,169.0,85.0,162.0,84.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.662
0,0,205.0,0.4618802070617676,0.6304665051755451,0.3239376897789141,0.6653465346534654,168.0,84.0,163.0,85.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.662
0,0,210.0,0.4755519032478333,0.6297814954840948,0.32019010737546205,0.66,165.0,82.0,165.0,88.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.66
0,0,215.0,0.4504919052124024,0.6289394365416633,0.3162552515462967,0.6573146292585171,164.0,82.0,165.0,89.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6579999999999999
0,0,220.0,0.8546501994132996,0.6279572593787359,0.31675629550082984,0.6531440162271805,161.0,79.0,168.0,92.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6579999999999999
0,0,225.0,0.5592910647392273,0.6269519102005732,0.31285349334574103,0.6504065040650407,160.0,79.0,168.0,93.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6559999999999999
0,0,230.0,0.5287824869155884,0.6263159234372396,0.31640191207202795,0.6559356136820926,163.0,81.0,166.0,90.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6579999999999999
0,0,235.0,0.5449045300483704,0.6256609918579222,0.3203271316046303,0.6586345381526105,164.0,81.0,166.0,89.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.66
0,0,240.0,0.690125584602356,0.6249707066823565,0.3284884354604694,0.6612903225806451,164.0,79.0,168.0,89.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.664
0,0,245.0,0.4803268313407898,0.6243515913448636,0.3203271316046303,0.6586345381526105,164.0,81.0,166.0,89.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.66
0,0,250.0,0.5014892816543579,0.6234132737394363,0.3360748866792708,0.6693227091633466,168.0,81.0,166.0,85.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6679999999999999
0,0,255.0,0.6231821775436401,0.6222825144964551,0.3360748866792708,0.6693227091633466,168.0,81.0,166.0,85.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6679999999999999
0,0,260.0,0.5403954982757568,0.6212523972231244,0.3359788789984597,0.6706349206349206,169.0,82.0,165.0,84.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6679999999999999
0,0,265.0,0.7772367596626282,0.6204862736520314,0.3198470010051729,0.6653543307086615,169.0,86.0,161.0,84.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.66
0,0,270.0,0.5411995649337769,0.6195645909460764,0.3238024416090384,0.6705653021442495,172.0,88.0,159.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.662
0,0,275.0,0.5885124802589417,0.6185392226491656,0.3238024416090384,0.6705653021442495,172.0,88.0,159.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.662
0,0,280.0,0.5783469676971436,0.6177354819244809,0.3238024416090384,0.6705653021442495,172.0,88.0,159.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.662
0,0,285.0,0.7769743800163269,0.6169423025751871,0.3278040733507601,0.671875,172.0,87.0,160.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.664
0,0,290.0,0.786904513835907,0.6160633455193232,0.335851354320418,0.6732283464566929,171.0,84.0,163.0,82.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6679999999999999
0,0,295.0,0.80724036693573,0.6152737254188174,0.335851354320418,0.6732283464566929,171.0,84.0,163.0,82.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6679999999999999
0,0,300.0,0.5972887873649597,0.6142949215949528,0.3439055223952249,0.6758893280632411,171.0,82.0,165.0,82.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.672
0,0,305.0,0.4506323039531708,0.6132468812995486,0.3518557076356631,0.6811023622047245,173.0,82.0,165.0,80.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6759999999999999
0,0,310.0,0.6032373905181885,0.6122567828685518,0.35582383558385683,0.6849315068493151,175.0,83.0,164.0,78.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6779999999999999
0,0,315.0,0.3743104040622711,0.6111201303345817,0.35182726587328383,0.6823529411764706,174.0,83.0,164.0,79.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6759999999999999
0,0,320.0,0.6230975389480591,0.6100385472888038,0.3559410181506701,0.6811881188118812,172.0,80.0,167.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6779999999999999
0,0,325.0,0.5155694484710693,0.6089813605187431,0.3679814392688278,0.6865079365079366,173.0,78.0,169.0,80.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.684
0,0,330.0,0.7303560376167297,0.6081337583443475,0.3679089788929606,0.6877470355731226,174.0,79.0,168.0,79.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.684
0,0,335.0,0.5637745261192322,0.6073138221861825,0.3678600609509082,0.6889763779527559,175.0,80.0,167.0,78.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.684
0,0,340.0,0.47168314456939703,0.6069788894956074,0.38002736295523465,0.6918489065606361,174.0,76.0,171.0,79.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.69
0,0,345.0,0.5835955739021301,0.6062769653305174,0.3718458731918936,0.6915520628683693,176.0,80.0,167.0,77.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6859999999999999
0,0,350.0,0.6714974641799927,0.6060923631229098,0.3679001916867055,0.6937984496124032,179.0,84.0,163.0,74.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.684
0,0,355.0,0.4224087595939636,0.6060036430283199,0.3801499296908608,0.7024952015355087,183.0,85.0,162.0,70.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.69
0,0,360.0,0.7656704783439636,0.6052394145064883,0.3679001916867055,0.6937984496124032,179.0,84.0,163.0,74.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.684
0,0,365.0,0.5461371541023254,0.6046634775305552,0.3598309800066221,0.6862745098039216,175.0,82.0,165.0,78.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.68
0,0,370.0,0.8299161791801453,0.6044796426144857,0.35985788429328563,0.6850393700787402,174.0,81.0,166.0,79.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.68
0,0,375.0,0.7571536898612976,0.6047375519124288,0.3439055223952249,0.6758893280632411,171.0,82.0,165.0,82.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.672
0,0,380.0,0.4064639806747437,0.6047211984793345,0.3519066745611368,0.6798418972332015,172.0,81.0,166.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6759999999999999
0,0,385.0,1.0379903316497805,0.6042727307667808,0.3521947160391096,0.6759999999999999,169.0,78.0,169.0,84.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6759999999999999
0,0,390.0,0.4547070264816284,0.6039785184557476,0.3484134369680243,0.6720321931589537,167.0,77.0,170.0,86.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.674
0,0,395.0,0.4591003954410553,0.6031587171176124,0.3559410181506701,0.6811881188118812,172.0,80.0,167.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6779999999999999
0,0,400.0,0.6201907992362976,0.6023626228173574,0.3638807767260244,0.6863905325443787,174.0,80.0,167.0,79.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.682
0,0,405.0,0.4396430552005768,0.602198851960046,0.3640262108308037,0.68389662027833,172.0,78.0,169.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.682
0,0,410.0,0.6652752757072449,0.6022140185038248,0.36819702037093344,0.684,171.0,76.0,171.0,82.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.684
0,0,415.0,0.5006039738655089,0.6022764240938521,0.3559410181506701,0.6811881188118812,172.0,80.0,167.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6779999999999999
0,0,420.0,0.6303212642669678,0.6017997061449384,0.35602563476858823,0.679920477137177,171.0,79.0,168.0,82.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.6779999999999999
0,0,425.0,0.5700095891952515,0.6010967696469928,0.3443336615774979,0.6706827309236948,167.0,78.0,169.0,86.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.672
0,0,430.0,0.7369893789291382,0.6011998251317039,0.3478775760607933,0.6785009861932939,172.0,82.0,165.0,81.0,outputs/c_q_binary/bert/bookcorpus_context_final/0/fold_0,10,5,32,2e-05,10,8,0.1,0,0.674
